Project Name,Package Name,Type Name,Code Smell
app,org.apache.roller.weblogger.business.search.lucene,IndexUtil,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,ReadFromIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,WriteToIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,SharedThemeFromDir,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,SharedThemeTemplate,Insufficient Modularization
app,org.apache.roller.weblogger.business.themes,ThemeInitializationException,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,ThemeManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.themes,ThemeMetadata,Insufficient Modularization
app,org.apache.roller.weblogger.business.themes,ThemeNotFoundException,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,ThemeParsingException,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,WeblogCustomTheme,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,WeblogSharedTheme,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.business,PlanetURLStrategy,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,Deficient Encapsulation
app,org.apache.roller.weblogger.planet.tasks,RefreshRollerPlanetTask,Deficient Encapsulation
app,org.apache.roller.weblogger.planet.tasks,SyncWebsitesTask,Deficient Encapsulation
app,org.apache.roller.weblogger.planet.ui,PlanetConfig,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetConfig,Broken Hierarchy
app,org.apache.roller.weblogger.planet.ui,PlanetConfig,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.planet.ui,PlanetGroups,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetGroups,Broken Hierarchy
app,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Broken Hierarchy
app,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,AutoPing,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,CommentSearchCriteria,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,CustomTemplateRendition,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,GlobalPermission,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,GlobalPermission,Unexploited Encapsulation
app,org.apache.roller.weblogger.pojos,GlobalPermission,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,MediaFile,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,MediaFile,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,MediaFileComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,MediaFileDirectoryComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,OAuthAccessorRecord,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,PingQueueEntry,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,PingTarget,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,RuntimeConfigProperty,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,StaticTemplate,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,TagStatComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,ThemeTemplate,Broken Hierarchy
app,org.apache.roller.weblogger.pojos,User,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,User,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,UserRole,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,Weblog,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,Weblog,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,Weblog,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,Weblog,Hub-like Modularization
app,org.apache.roller.weblogger.pojos,WeblogBookmark,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogBookmark,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogBookmark,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogCategory,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogCategory,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogCategory,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntry,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogEntry,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntry,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntry,Hub-like Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryAttribute,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryComment,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogEntryComment,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryComment,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryTag,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryTagAggregate,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogEntryTagComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,WeblogEntryWrapperComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,WeblogHitCount,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogPermission,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogPermission,Broken Hierarchy
app,org.apache.roller.weblogger.pojos,WeblogPermission,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogTemplate,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogTemplate,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogTemplate,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogTheme,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogTheme,Broken Hierarchy
app,org.apache.roller.weblogger.pojos.wrapper,WeblogBookmarkWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos.wrapper,WeblogCategoryWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryAttributeWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryCommentWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryTagWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,Insufficient Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,Insufficient Modularization
app,org.apache.roller.weblogger.ui.core,CmaRollerContext,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core,CmaRollerContext,Broken Hierarchy
app,org.apache.roller.weblogger.ui.core,RollerContext,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,RollerLoginSessionManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,SingletonHolder,Unnecessary Abstraction
app,org.apache.roller.weblogger.ui.core,SingletonHolder,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,SessionCacheHandler,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core,RollerSession,Deficient Encapsulation
app,org.apache.roller.weblogger.ui.core,RollerSession,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,RollerLoginSessionManagerTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core,RollerSessionTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,BootstrapFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,CharEncodingFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,CustomOpenIDAuthenticationProcessingFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,DebugFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,IPBanFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,PersistenceSessionFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,RoleAssignmentFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,RoleAssignmentRequestWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,SpringFirewallExceptionFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,InitFilterTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,LoadSaltFilterTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,TestUser,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,ValidateSaltFilterTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,TestUser,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.plugins,Summernote,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.plugins,TextEditor,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.security,AuthoritiesPopulator,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.security,BasicUserAutoProvision,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.security,CustomUserRegistry,Imperative Abstraction
app,org.apache.roller.weblogger.ui.core.security,RollerRememberMeAuthenticationProvider,Unutilized Abstraction
